code_id, code_header_id, code_name, code_description, code_sort_order, valid_from, valid_to, created_at,updated_at, created_by_user_id, updated_by_user_id
117,7,NASS,Nass,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
118,7,BOWR,Bowron,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
119,7,CAC1,CACHE CREEK 1,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
120,7,CAC3,CACHE CREEK 3,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
121,7,CAC4,CACHE CREEK 4,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
122,7,CAC6,CACHE CREEK 6,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
123,7,CLLA,Clear Lake,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
124,7,COMO,Core Mountain,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
125,7,FIWI,Finley-Williston,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
126,7,FIRA,Fishing Ranges,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
127,7,LAST,Lawyers-Sturdy,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
128,7,MAPA,Macgregor-Parsnip,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
129,7,MU7B,MU712B,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
130,7,NECH,Nechako,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
131,7,OMRI,Omineca River,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
132,7,RURA,Russell Range,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
133,7,SARI,Salmon River,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
134,7,STRI,Stuart River,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
135,7,STLA,Stuart-Trembler Lakes,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
136,7,TICR,Tierney Creek,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
137,7,TWRI,Two Rivers,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
138,7,WELA,West Lake,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
139,7,WILL,Willow,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
140,8,1,Clear,1,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
141,8,3,Scattered  (>50%),3,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
142,8,4,Unbroken clouds,4,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
143,9,AS,Altostratus,6,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
144,9,CI,Cirrus,8,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
145,9,CU,Cumulus,4,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
146,9,NS,Nimbostratus,2,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
147,9,ST,Stratus,1,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
148,10,Y,Yes,1,2007-03-16 00:00:00,,2000-12-13 00:00:00,2007-03-16 00:00:00,1,1
149,10,N,No,2,2007-03-16 00:00:00,,2000-12-13 00:00:00,2007-03-16 00:00:00,1,1
150,11,1,Fines,1,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
151,11,2,Gravels,2,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
152,11,3,Cobble,3,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
153,11,4,Boulder,4,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
154,11,5,Wood,5,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
155,11,6,Bark,6,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
156,11,7,Soil,7,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
157,11,8,Vegetation,8,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
158,12,1,< 1/2 day,1,2009-10-08 00:00:00,,2000-12-13 00:00:00,2009-10-08 00:00:00,1,1
159,12,2,< 3 days,2,2009-10-08 00:00:00,,2000-12-13 00:00:00,2009-10-08 00:00:00,1,1
160,12,3,< 14 days,3,2009-10-08 00:00:00,,2000-12-13 00:00:00,2009-10-08 00:00:00,1,1
161,12,4,> 14 days,4,2009-10-08 00:00:00,,2000-12-13 00:00:00,2009-10-08 00:00:00,1,1
162,12,5,NR,5,2009-10-08 00:00:00,,2000-12-13 00:00:00,2009-10-08 00:00:00,1,1
163,13,QUADRAT,QUADRAT,6,2008-04-03 00:00:00,,2000-12-13 00:00:00,2008-04-03 00:00:00,1,1
164,13,BLOCK,BLOCK,1,2007-03-22 00:00:00,,2000-12-13 00:00:00,2007-03-22 00:00:00,1,1
165,13,CALL MECHANISM,CALL MECHANISM,,2007-03-15 00:00:00,,2000-12-13 00:00:00,2007-03-15 00:00:00,1,1
166,13,RECORDING MECHANISM,RECORDING MECHANISM,,2007-03-15 00:00:00,,2000-12-13 00:00:00,2007-03-15 00:00:00,1,1
167,13,SAMPLE STATION,SAMPLE STATION,2,2007-03-15 00:00:00,,2000-12-13 00:00:00,2007-03-15 00:00:00,1,1
168,13,TRAP,TRAP,,2007-03-15 00:00:00,,2000-12-13 00:00:00,2007-03-15 00:00:00,1,1
169,13,GRID,GRID,,2007-03-15 00:00:00,,2000-12-13 00:00:00,2007-03-15 00:00:00,1,1
170,13,TRANSECT SEGMENT,TRANSECT SEGMENT,4,2008-04-03 00:00:00,,2000-12-13 00:00:00,2008-04-03 00:00:00,1,1
171,13,SAMPLED WILDLIFE FEATURE,SAMPLED WILDLIFE FEATURE,,2007-03-15 00:00:00,,2000-12-13 00:00:00,2007-03-15 00:00:00,1,1
172,14,AL,Alert,1,2008-11-05 00:00:00,,2000-12-13 00:00:00,2008-11-05 00:00:00,1,1
173,14,AP,Avoiding Pests,3,2008-11-05 00:00:00,,2000-12-13 00:00:00,2008-11-05 00:00:00,1,1
174,14,BA,Basking,4,2008-11-05 00:00:00,,2000-12-13 00:00:00,2008-11-05 00:00:00,1,1
175,14,BE,Bedding,5,2008-11-05 00:00:00,,2000-12-13 00:00:00,2008-11-05 00:00:00,1,1
176,14,BU,Building,8,2008-11-05 00:00:00,,2000-12-13 00:00:00,2008-11-05 00:00:00,1,1
177,14,CA,Casting,9,2008-11-05 00:00:00,,2000-12-13 00:00:00,2008-11-05 00:00:00,1,1
178,14,CO,Courting,10,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
179,14,DE,Denning,12,2008-11-05 00:00:00,,2000-12-13 00:00:00,2008-11-05 00:00:00,1,1
180,14,DI,Disturbed,16,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
181,14,DR,Drinking,17,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
182,14,EX,Excreting,18,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
183,14,FD,Feeding,19,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
184,14,FL,Fleeing,20,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
185,14,GR,Grooming,22,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
186,14,HI,Hibernating,23,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
187,14,HU,Hunting,24,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
188,14,IN,Incubating,26,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
189,14,LI,Living,27,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
190,14,LO,Loafing,28,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
191,14,MD,Migrating Daily,29,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
192,14,RR,Rearing,33,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
193,14,SH,Security Habitat,36,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
194,14,ST,Security and Thermal,40,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
195,14,TE,Territoriality,41,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
196,14,TF,"Traveling, Flying",48,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
197,14,TH,Thermal Habitat,35,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
198,14,TP,Traveling on a Path,46,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
199,14,TR,"Traveling, Running",45,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
200,14,TS,"Traveling, Swimming",47,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
201,14,TW,"Traveling, Walking",44,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
202,14,UR,Urinating,50,2019-07-09 00:00:00,,2000-12-13 00:00:00,2019-07-09 00:00:00,1,1
203,15,SATP,Smoked Aluminum Track Plate,12,2019-10-31 00:00:00,,2000-12-13 00:00:00,2019-10-31 00:00:00,1,1
204,15,RCAM,Remote Camera,14,2019-10-31 00:00:00,,2000-12-13 00:00:00,2019-10-31 00:00:00,1,1
205,15,OTHR,Other,15,2019-10-31 00:00:00,,2000-12-13 00:00:00,2019-10-31 00:00:00,1,1
206,16,E,Eggs,1,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
207,16,L,Larva,3,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
208,16,J,Juvenile,5,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
209,17,0,none,1,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
210,17,2,1-33%,3,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
211,17,4,67-100%,5,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
212,18,B,Thickmat,2,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
213,19,1,Individuals,2,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
214,19,2,Overlap,3,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
215,20,D,Dry,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
216,20,M,Moist,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
217,20,W,Wet,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
218,21,A,Alive,1,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
219,21,D,Dead,4,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
220,22,I,In Transect,1,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
221,22,O,Out Transect,2,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
222,23,DRY,No moisture detected,2,2020-02-13 00:00:00,,2000-12-13 00:00:00,2020-02-13 00:00:00,1,1
223,23,DROPLETS,Moisture detected,3,2020-02-13 00:00:00,,2000-12-13 00:00:00,2020-02-13 00:00:00,1,1
224,24,1,Bark: Intact and not loose; Invading Roots: Absent; Structural Integrity: Sound,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
225,24,2,"Bark: Mostly intact, but some loose; Invading Roots: Absent; Structural Integrity: Sapwood somewhat decayed; heartwood mostly sound",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
226,24,3,"Bark: Loose, or absent; Invading Roots: Sapwood only; Structural Integrity: Sapwood decayed, but heartwood mostly sound",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
227,24,4,"Bark: Detached or absent; Invading Roots: Throughout; Structural Integrity: Heartwood rotten, branch stubs pull out",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
228,24,5,Bark: Detached or absent; Invading Roots: Throughout; Structural Integrity: None,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
229,25,BL,Band - leg,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
230,25,BN,"Band - neck (waterfowl, mammals)",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
231,25,BR,Branding,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
232,25,BW,Band - wing (bats),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
233,25,CL,"Toe, ear, or tail clipping",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
234,25,DB,Dye - body,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
235,25,DF,Dye - feather,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
236,25,DH,Dye - hair,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
237,25,ES,Ear switches,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
238,25,FR,Fluorescence or Radiation,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
239,25,HM,Horn markers,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
240,25,NM,Nasal markers,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
241,25,PT,PIT tag - passive integrated transponder,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
242,25,RT,Radio transmitter,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
243,25,SM,Shell marking (turtles),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
244,25,SR,Scute removal (snakes),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
245,25,TA,Tattooing,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
246,25,TB,Tag - back,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
247,25,TE,Tag - ear,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
248,25,TO,Tag - other e.g. webbing tag for frogs,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
249,25,WS,Wing streamers,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
250,26,BARKL,Bark - under the Bark on Log (plus Bark decay class),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
251,26,BARKG,Bark - under the Bark on the Ground (plus Bark decay class),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
252,26,LOGG,Log - under Log on Ground (plus Log decay class),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
253,26,LOGW,Log - Within Log (plus Log decay class),,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
